,pca_0,pca_1,pca_2,cluster,name,max_tfidf_value,word_of_max_tfidf
0,-0.10265331543864899,-0.011718124505842519,0.08588103116697193,1,339641.tokens,0.17948027934288624,interaction
1,-0.0749211187602847,0.24448764424031014,-0.006831265160501772,0,475722.tokens,0.3174047149616247,delivery
2,-0.023652625059432515,-0.08867330681574459,-0.07693078333398562,1,308732.tokens,0.46950452477323357,hladq
3,-0.032538587179839575,-0.059183627169121705,-0.010859189224612462,1,452303.tokens,0.5308701213102129,dhfr
4,-0.019452962365576,-0.055701760327416715,-0.025909855762668504,1,382176.tokens,0.30733847821036253,fluorovinyl
5,0.19779649583711717,-0.012957736551398695,0.06149287409808769,2,301598.tokens,0.34012364367749987,opioidmimetics
6,0.21129953547004457,0.014633025892293898,-0.04429381527405593,2,342773.tokens,0.346427105466124,catalepsy
7,0.29195746715758186,0.002169383968178788,0.02724482622625151,2,444562.tokens,0.33867413332319046,receptor
8,-0.039445899939810736,0.019904109966085003,-0.09344256486331014,0,352054.tokens,0.45777740556440827,bengazole
9,-0.14171272944994878,0.43145942264472087,0.04386410110152855,0,306994.tokens,0.4388540941521897,conjugate
10,0.3458804195183785,0.026863332751357983,-0.07293634978256851,2,349262.tokens,0.7684110836405037,sigma
11,-0.013630221231480204,-0.04723680415945131,-0.12019632337746104,1,387745.tokens,0.35421387938829346,helixthreading
12,0.003006316973015254,-0.005561925673531087,-0.165149926963944,1,289399.tokens,0.43762025555635486,peptide
13,0.06532993767394071,-0.034219861609580765,-0.179183668607945,2,450495.tokens,0.4984678166617295,alphactx
14,-0.05339600493432447,0.11217232105198448,0.08588695746214228,0,300657.tokens,0.36614598788568214,leishmania
15,-0.06138015401929744,0.043617052536600094,-0.014997562896446836,0,351759.tokens,0.29740670031708444,daily
16,-0.026919479832693976,0.0034488216096540346,-0.011496136580099224,1,288816.tokens,0.3153384330556872,ringclosure
17,-0.041030725787982406,-0.000713823055140324,-0.04735779612419458,1,443891.tokens,0.6037738703523203,imidazoquines
18,-0.05406596160980328,-0.13379063010823064,0.004564308989323734,1,293611.tokens,0.5027753851997001,antiapoptotic
19,-0.04919055430986107,0.11493075066984877,0.008682832297459758,0,410461.tokens,0.3219403166987141,pyrazole
20,-0.054289924892418434,0.11834540106301705,-0.028088557464653677,0,409604.tokens,0.5086882449720895,concentration
21,-0.097155500686464,0.2277456378732343,0.09961961125376312,0,394850.tokens,0.3779607485461887,atcaa
22,-0.033609033752080915,-0.0347540003172105,-0.05905600474112856,1,301621.tokens,0.4517727885437657,choline
23,-0.04676273800212911,-0.040135410510051504,-0.019715839016646506,1,475974.tokens,0.23535317586070564,diketopiperazines
24,-0.07825694569343182,0.1977042741747637,0.013119480404356905,0,297699.tokens,0.6831273036732466,doxazolidine
25,-0.038295222203988684,-0.05007847249155358,-0.06621530806379004,1,245060.tokens,0.2786830665408143,aureus
26,-0.05607880237548774,0.05880839903285645,-0.04834313987211416,0,453383.tokens,0.36243759004175136,dihydroartemisinin
27,-0.03539311521232872,-0.003702963599792912,-0.03505098348314125,1,460734.tokens,0.37741194430487135,reactivation
28,0.15116277974964995,-0.01056605519398817,-0.017484091650316645,2,331876.tokens,0.3003942806995188,mouse
29,-0.047164694595762904,0.04119832132487082,0.022289159874566596,1,343737.tokens,0.700465923517515,glycyrrhetinic
30,-0.03360377359829951,0.041785464173265834,-0.057361319777131416,1,432520.tokens,0.5121299142036576,ceramide
31,-0.0605415431099239,-0.10851036081357301,0.024985570939623777,1,419857.tokens,0.550283332393398,fbpase
32,0.013773313021262362,-0.02020541370745076,-0.07622661791402256,2,321438.tokens,0.3816692430950516,tropanes
33,-0.0834556516548111,0.0906209657179778,0.023043106597241975,0,465963.tokens,0.33217051157052263,htfid
34,0.03228494778605867,0.11172792113637871,0.0264276119848824,0,295378.tokens,0.3710115227421304,androgen
35,-0.040206530795066676,0.004381818621869418,-0.048785733252494794,1,288821.tokens,0.33835960258230574,aspirin
36,-0.05065831242133293,0.017390427249085162,-0.05161574002850782,1,340533.tokens,0.5301270116209809,manzamine
37,-0.062375450218120826,0.1344817018994882,-0.009941532591193864,0,287962.tokens,0.428624391756359,prostaglandin
38,0.225365922747975,-0.005079720232128993,0.04164353320341986,2,387270.tokens,0.36041022863371047,adenosine
39,-0.07283123943648348,0.1112364497202581,0.021168173627860335,0,381805.tokens,0.33698777210777625,bisanthrapyrazoles
40,0.19662196446642322,0.008951160451192205,-0.08985778620383301,2,306665.tokens,0.7010298061355231,sigma
41,-0.10554534428285312,-0.11671745064845176,0.05783515595044919,1,420122.tokens,0.35319749199430317,kinase
42,-0.06197068125155238,0.008773910936991177,-0.012957406992349367,1,289158.tokens,0.3804559828986159,pore
43,-0.10323236698788163,0.2579222005092002,0.019791819909441795,0,300493.tokens,0.4711840025975519,gadz
44,-0.09736215100988914,-0.14696651461195628,0.03871663653969287,1,390924.tokens,0.6046780889579919,hisg
45,-0.061590334548072743,-0.05950336002988883,0.016667445540748376,1,309798.tokens,0.4494739488758718,flavonoid
46,-0.0577174204783674,-0.020294481310743833,0.029104136989345625,1,454688.tokens,0.3867241220291185,hydroquinones
47,-0.05794989670709787,-0.09968867125852246,-0.02096736771872474,1,303631.tokens,0.33013375475513623,salicyl
48,0.16623416885298659,-0.009888069943962593,-0.009001471487291952,2,294383.tokens,0.4482821061992468,hmcr
49,0.05049120266737051,0.00904163000949814,-0.045482343919185146,2,392786.tokens,0.42117443096591567,idra
50,-0.04848974402013122,0.015074013942366567,-0.0434700395674816,1,300403.tokens,0.3359725995324643,shock
